name,lng,lat,X,Y,adress
가좌역,126.91756,37.56721,451971.9461,192717.6166,서울특별시 마포구 망원2동
연남동,126.921228,37.56312,451517.7747,193041.251,서울특별시 마포구 연남동 372-5
동교어린이공원,126.923557,37.560114,451184.0099,193246.7245,서울특별시 연남동 연남동 373-17번
연트럴파크,126.926039,37.557404,450883.0887,193465.7575,서울특별시 마포구 연남동 476-4
홍대입구역 6번출구,126.92869,37.556478,450780.1437,193699.8879,서울특별시 마포구 동교동
참새방앗간 ,126.931876,37.554792,450592.829,193981.2297,서울특별시 마포구 동교동 188-21
서강대역,126.935524,37.551747,450254.6792,194303.2996,서울특별시 마포구 노고산동 117-17
서강대총동창회관,126.938914,37.549655,450022.3171,194602.6682,서울특별시 마포구 신수동 1-4
광성벤처프라자,126.944215,37.545678,449580.6742,195070.783,서울특별시 마포구 염리동 446
공덕 파크자이,126.948382,37.544451,449444.2963,195438.9085,서울특별시 마포구 공덕동 백범로36가길 24-1
공덕역,126.951297,37.543491,449337.6219,195696.4298,서울특별시 마포구 공덕동 439-8
브라운스톤 공덕,126.955163,37.541476,449113.8354,196037.9367,서울특별시 마포구 신공덕동 100-8
효창 푸르지오,126.957898,37.539817,448929.6146,196279.5351,서울특별시 용산구 도원동 1-22
효창공원역,126.961138,37.539205,448861.5741,196565.819,서울특별시 용산구 용문동 5-268
